TeamID,NumDecisions,NumCorrect,TotalWPDiff,AvgWPDiff,TotalWPLost,MaxWPLost,Accuracy
46,3,3,0.0,0.0,0.0,0.0,1.0
36,11,8,-0.041300728152540586,-0.0037546116502309625,-0.041300728152540586,-0.030370151759274655,0.7272727272727273
23,10,8,-0.05913386377358672,-0.005913386377358672,-0.05913386377358672,-0.038810626613510424,0.8
37,19,14,-0.06432942295919099,-0.0033857591031153152,-0.06432942295919099,-0.02586096908579516,0.7368421052631579
28,10,7,-0.06665257634219009,-0.006665257634219009,-0.06665257634219009,-0.034376183368183655,0.7
24,49,41,-0.08347122157328635,-0.0017034943178221703,-0.08347122157328635,-0.023872031922563708,0.8367346938775511
44,8,7,-0.09799876997893947,-0.012249846247367434,-0.09799876997893947,-0.09799876997893947,0.875
27,7,5,-0.10201361155913405,-0.014573373079876292,-0.10201361155913405,-0.08951770759099442,0.7142857142857143
12,19,12,-0.1650085409108485,-0.008684660047939394,-0.1650085409108485,-0.05425967950330454,0.631578947368421
43,16,12,-0.27258686713695585,-0.01703667919605974,-0.27258686713695585,-0.09368754643946886,0.75
13,35,26,-0.2802798817967651,-0.008007996622764718,-0.2802798817967651,-0.06632441785371912,0.7428571428571429
30,24,17,-0.2810370873242526,-0.011709878638510524,-0.2810370873242526,-0.09934155642986298,0.7083333333333334
25,37,30,-0.36280268406814914,-0.009805477947787815,-0.36280268406814914,-0.21104252338409424,0.8108108108108109
19,82,64,-0.4449879884021111,-0.005426682785391599,-0.4449879884021111,-0.11890974070573596,0.7804878048780488
14,94,72,-0.4525537567533415,-0.004814401667588739,-0.4525537567533415,-0.07725011518444122,0.7659574468085106
34,22,16,-0.522443657832439,-0.023747438992383588,-0.5224436578324391,-0.2172594889998436,0.7272727272727273
20,64,49,-0.5644299824862035,-0.008819218476346929,-0.5644299824862035,-0.17209547758102417,0.765625
22,66,48,-0.5833489775636298,-0.00883862087217621,-0.5833489775636298,-0.16522390395402908,0.7272727272727273
17,100,71,-0.6088836252497309,-0.00608883625249731,-0.6088836252497308,-0.06162265516306514,0.71
15,81,60,-0.6686881020833243,-0.008255408667695361,-0.6686881020833244,-0.15680335462093353,0.7407407407407407
16,81,57,-0.6701010838368835,-0.008272852886875105,-0.6701010838368835,-0.17797036468982697,0.7037037037037037
18,83,66,-0.7369022257699795,-0.008878340069517826,-0.7369022257699797,-0.15653367899358273,0.7951807228915663
10,138,111,-1.1326997995038652,-0.008207969561622211,-1.1326997995038652,-0.16728489845991135,0.8043478260869565
11,90,67,-1.30558988254513,-0.014506554250501444,-1.3055898825451302,-0.31576310098171234,0.7444444444444445
